iter	Passed	Remaining
0	43	17250
1	86	17214
2	137	18239
3	187	18574
4	238	18850
5	292	19175
6	348	19570
7	398	19512
8	449	19534
9	496	19370
10	545	19306
11	602	19486
12	653	19467
13	697	19244
14	748	19210
15	812	19488
16	878	19802
17	942	20005
18	1007	20205
19	1071	20349
20	1130	20408
21	1192	20488
22	1249	20486
23	1312	20560
24	1369	20541
25	1423	20477
26	1482	20483
27	1536	20414
28	1590	20352
29	1644	20284
30	1702	20260
31	1755	20190
32	1811	20141
33	1868	20109
34	1922	20049
35	1975	19978
36	2033	19945
37	2083	19843
38	2127	19689
39	2172	19555
40	2218	19421
41	2265	19306
42	2308	19163
43	2359	19089
44	2409	19009
45	2466	18983
46	2522	18947
47	2572	18865
48	2627	18818
49	2679	18759
50	2724	18646
51	2771	18550
52	2816	18437
53	2863	18346
54	2911	18261
55	2954	18148
56	2999	18048
57	3043	17948
58	3087	17844
59	3137	17781
60	3184	17695
61	3227	17592
62	3265	17467
63	3306	17358
64	3350	17267
65	3394	17177
66	3437	17085
67	3488	17031
68	3537	16970
69	3583	16894
70	3636	16848
71	3687	16799
72	3738	16747
73	3792	16706
74	3842	16652
75	3890	16586
76	3943	16540
77	3990	16472
78	4044	16433
79	4092	16371
80	4144	16324
81	4195	16271
82	4246	16219
83	4295	16160
84	4341	16089
85	4385	16010
86	4427	15929
87	4473	15860
88	4515	15778
89	4560	15708
90	4601	15623
91	4644	15548
92	4689	15479
93	4740	15432
94	4797	15401
95	4849	15357
96	4900	15306
97	4949	15253
98	4997	15195
99	5041	15125
100	5082	15045
101	5119	14956
102	5157	14873
103	5194	14785
104	5232	14700
105	5274	14628
106	5318	14563
107	5356	14481
108	5390	14391
109	5434	14326
110	5469	14239
111	5513	14177
112	5553	14103
113	5592	14030
114	5635	13966
115	5674	13892
116	5715	13824
117	5758	13762
118	5806	13712
119	5855	13663
120	5905	13616
121	5956	13573
122	6008	13531
123	6060	13489
124	6111	13444
125	6164	13405
126	6211	13353
127	6257	13297
128	6308	13252
129	6355	13200
130	6405	13152
131	6458	13112
132	6515	13079
133	6563	13029
134	6612	12981
135	6659	12926
136	6702	12867
137	6744	12804
138	6787	12744
139	6835	12694
140	6882	12641
141	6929	12590
142	6975	12535
143	7033	12503
144	7105	12496
145	7171	12476
146	7234	12451
147	7291	12415
148	7351	12383
149	7410	12350
150	7461	12303
151	7509	12252
152	7558	12202
153	7601	12142
154	7650	12093
155	7695	12036
156	7740	11980
157	7784	11922
158	7830	11868
159	7875	11813
160	7919	11756
161	7961	11696
162	8005	11640
163	8051	11586
164	8096	11531
165	8143	11478
166	8192	11430
167	8240	11379
168	8287	11327
169	8337	11279
170	8382	11226
